Element,Line,keV
Li,Ka1,0.0543
Be,Ka1,0.1085
B,Ka1,0.1833
C,Ka1,0.277
Ca,La1,0.3413
Ca,La2,0.3413
Ca,LB1,0.3449
N,Ka1,0.3924
Sc,La1,0.3954
Sc,La2,0.3954
Sc,LB1,0.3996
Ti,La1,0.4522
Ti,La2,0.4522
Ti,LB1,0.4584
V,La1,0.5113
V,La2,0.5113
V,LB1,0.5192
O,Ka1,0.5249
Cr,La1,0.5728
Cr,La2,0.5728
Cr,LB1,0.5828
Mn,La1,0.6374
Mn,La2,0.6374
Mn,LB1,0.6488
F,Ka1,0.6768
Fe,La1,0.705
Fe,La2,0.705
Fe,LB1,0.7185
Co,La1,0.7762
Co,La2,0.7762
Co,LB1,0.7914
Ne,Ka1,0.8486
Ne,Ka2,0.8486
Ni,La1,0.8515
Ni,La2,0.8515
Ni,LB1,0.8688
Cu,La1,0.9297
Cu,La2,0.9297
Cu,LB1,0.9498
Zn,La1,1.0117
Zn,La2,1.0117
Zn,LB1,1.0347
Na,Ka1,1.04098
Na,Ka2,1.04098
Na,KB1,1.0711
Ga,La1,1.09792
Ga,La2,1.09792
Ga,LB1,1.1248
Ge,La1,1.188
Ge,La2,1.188
Ge,LB1,1.2185
Mg,Ka1,1.2536
Mg,Ka2,1.2536
As,La1,1.282
As,La2,1.282
Mg,KB1,1.3022
As,LB1,1.317
Se,La1,1.3791
Se,La2,1.3791
Se,LB1,1.41923
Br,La1,1.48043
Br,La2,1.48043
Al,Ka2,1.48627
Al,Ka1,1.4867
Br,LB1,1.5259
Al,KB1,1.55745
Kr,La1,1.586
Kr,La2,1.586
Kr,LB1,1.6366
Rb,La2,1.69256
Rb,La1,1.69413
Si,Ka2,1.73938
Si,Ka1,1.73998
Rb,LB1,1.75217
Sr,La2,1.80474
Sr,La1,1.80656
Si,KB1,1.83594
Sr,LB1,1.87172
Y,La2,1.92047
Y,La1,1.92256
Y,LB1,1.99584
P,Ka2,2.0127
P,Ka1,2.0137
Zr,La2,2.0399
Zr,La1,2.04236
Zr,LB1,2.1244
P,KB1,2.1391
Nb,La2,2.163
Nb,La1,2.16589
Zr,LB2,2.2194
Nb,LB1,2.2574
Mo,La2,2.28985
Mo,La1,2.29316
Zr,Lg1,2.3027
S,Ka2,2.30664
S,Ka1,2.30784
Nb,LB2,2.367
Mo,LB1,2.39481
Tc,La1,2.424
Nb,Lg1,2.4618
S,KB1,2.46404
Mo,LB2,2.5183
Tc,LB1,2.5368
Ru,La2,2.55431
Ru,La1,2.55855
Cl,Ka2,2.62078
Cl,Ka1,2.62239
Mo,Lg1,2.6235
Ru,LB1,2.68323
Rh,La2,2.69205
Rh,La1,2.69674
Cl,KB1,2.8156
Pd,La2,2.83325
Rh,LB1,2.83441
Ru,LB2,2.836
Pd,La1,2.83861
Ar,Ka2,2.95563
Ar,Ka1,2.9577
Ru,Lg1,2.9645
Ag,La2,2.97821
Ag,La1,2.98431
Pd,LB1,2.99022
Rh,LB2,3.0013
Cd,La2,3.12691
Cd,La1,3.13373
Rh,Lg1,3.1438
Ag,LB1,3.15094
Pd,LB2,3.17179
Ar,KB1,3.1905
In,La2,3.27929
In,La1,3.28694
K,Ka2,3.3111
K,Ka1,3.3138
Cd,LB1,3.31657
Pd,Lg1,3.3287
Ag,LB2,3.34781
Sn,La2,3.43542
Sn,La1,3.44398
In,LB1,3.48721
Ag,Lg1,3.51959
Cd,LB2,3.52812
K,KB1,3.5896
Sb,La2,3.59532
Sb,La1,3.60472
Sn,LB1,3.6628
Ca,Ka2,3.68809
Ca,Ka1,3.69168
In,LB2,3.71381
Cd,Lg1,3.71686
Te,La2,3.7588
Te,La1,3.76933
Sb,LB1,3.84357
Sn,LB2,3.90486
In,Lg1,3.92081
I,La2,3.92604
I,La1,3.93765
Ca,KB1,4.0127
Te,LB1,4.02958
Sc,Ka2,4.0861
Sc,Ka1,4.0906
Sb,LB2,4.10078
Xe,La1,4.1099
Sn,Lg1,4.13112
I,LB1,4.22072
Cs,La2,4.2722
Cs,La1,4.2865
Te,LB2,4.3017
Sb,Lg1,4.34779
Ba,La2,4.4509
Sc,KB1,4.4605
Ba,La1,4.46626
Ti,Ka2,4.50486
I,LB2,4.5075
Ti,Ka1,4.51084
Te,Lg1,4.5709
Cs,LB1,4.6198
La,La2,4.63423
La,La1,4.65097
I,Lg1,4.8009
Ce,La2,4.823
Ba,LB1,4.82753
Ce,La1,4.8402
Ti,KB1,4.93181
Cs,LB2,4.9359
V,Ka2,4.94464
V,Ka1,4.9522
Pr,La2,5.0135
Pr,La1,5.0337
La,LB1,5.0421
Ba,LB2,5.1565
Nd,La2,5.2077
Nd,La1,5.2304
Ce,LB1,5.2622
Cs,Lg1,5.2804
La,LB2,5.3835
Cr,Ka2,5.405509
Pm,La2,5.4078
Cr,Ka1,5.41472
V,KB1,5.42729
Pm,La1,5.4325
Pr,LB1,5.4889
Ba,Lg1,5.5311
Sm,La2,5.609
Ce,LB2,5.6134
Sm,La1,5.6361
Nd,LB1,5.7216
La,Lg1,5.7885
Eu,La2,5.8166
Eu,La1,5.8457
Pr,LB2,5.85
Mn,Ka2,5.88765
Mn,Ka1,5.89875
Cr,KB1,5.94671
Pm,LB1,5.961
Gd,La2,6.025
Ce,Lg1,6.052
Gd,La1,6.0572
Nd,LB2,6.0894
Sm,LB1,6.2051
Tb,La2,6.238
Tb,La1,6.2728
Pr,Lg1,6.3221
Pm,LB2,6.339
Fe,Ka2,6.39084
Fe,Ka1,6.40384
Eu,LB1,6.4564
Dy,La2,6.4577
Mn,KB1,6.49045
Dy,La1,6.4952
Sm,LB2,6.586
Nd,Lg1,6.6021
Ho,La2,6.6795
Gd,LB1,6.7132
Ho,La1,6.7198
Eu,LB2,6.8432
Pm,Lg1,6.892
Er,La2,6.905
Co,Ka2,6.9153
Co,Ka1,6.93032
Er,La1,6.9487
Tb,LB1,6.978
Fe,KB1,7.05798
Gd,LB2,7.1028
Tm,La2,7.1331
Sm,Lg1,7.178
Tm,La1,7.1799
Dy,LB1,7.2477
Tb,LB2,7.3667
Yb,La2,7.3673
Yb,La1,7.4156
Ni,Ka2,7.46089
Ni,Ka1,7.47815
Eu,Lg1,7.4803
Ho,LB1,7.5253
Lu,La2,7.6049
Dy,LB2,7.6357
Co,KB1,7.64943
Lu,La1,7.6555
Gd,Lg1,7.7858
Er,LB1,7.8109
Hf,La2,7.8446
Hf,La1,7.899
Ho,LB2,7.911
Cu,Ka2,8.02783
Cu,Ka1,8.04778
Ta,La2,8.0879
Tm,LB1,8.101
Tb,Lg1,8.102
Ta,La1,8.1461
Er,LB2,8.189
Ni,KB1,8.26466
W,La2,8.3352
W,La1,8.3976
Yb,LB1,8.4018
Dy,Lg1,8.4188
Tm,LB2,8.468
Re,La2,8.5862
Zn,Ka2,8.61578
Zn,Ka1,8.63886
Re,La1,8.6525
Lu,LB1,8.709
Ho,Lg1,8.747
Os,La2,8.841
Cu,KB1,8.90529
Os,La1,8.9117
Hf,LB1,9.0227
Lu,LB2,9.0489
Er,Lg1,9.089
Ir,La2,9.0995
Ir,La1,9.1751
Ga,Ka2,9.22482
Ga,Ka1,9.25174
Ta,LB1,9.3431
Hf,LB2,9.3473
Pt,La2,9.3618
Tm,Lg1,9.426
Pt,La1,9.4423
Zn,KB1,9.572
Au,La2,9.628
Ta,LB2,9.6518
W,LB1,9.67235
Au,La1,9.7133
Yb,Lg1,9.7801
Ge,Ka2,9.85532
Ge,Ka1,9.88642
Hg,La2,9.8976
W,LB2,9.9615
Hg,La1,9.9888
Re,LB1,10.01
Lu,Lg1,10.1434
Tl,La2,10.1728
Ga,KB1,10.2642
Tl,La1,10.2685
Re,LB2,10.2752
Os,LB1,10.3553
Pb,La2,10.4495
As,Ka2,10.50799
Hf,Lg1,10.5158
As,Ka1,10.54372
Pb,La1,10.5515
Os,LB2,10.5985
Ir,LB1,10.7083
Bi,La2,10.73091
Bi,La1,10.8388
Ta,Lg1,10.8952
Ir,LB2,10.9203
Ge,KB1,10.9821
Po,La2,11.0158
Pt,LB1,11.0707
Po,La1,11.1308
Se,Ka2,11.1814
Se,Ka1,11.2224
Pt,LB2,11.2505
W,Lg1,11.2859
At,La2,11.3048
At,La1,11.4268
Au,LB1,11.4423
Au,LB2,11.5847
Rn,La2,11.5979
Re,Lg1,11.6854
As,KB1,11.7262
Rn,La1,11.727
Hg,LB1,11.8226
Br,Ka2,11.8776
Fr,La2,11.895
Hg,LB2,11.9241
Br,Ka1,11.9242
Fr,La1,12.0313
Os,Lg1,12.0953
Ra,La2,12.1962
Tl,LB1,12.2133
Tl,LB2,12.2715
Ra,La1,12.3397
Se,KB1,12.4959
Ac,La2,12.5008
Ir,Lg1,12.5126
Kr,Ka2,12.598
Pb,LB1,12.6137
Pb,LB2,12.6226
Kr,Ka1,12.649
Ac,La1,12.652
Th,La2,12.8096
Pt,Lg1,12.942
Th,La1,12.9687
Bi,LB2,12.9799
Bi,LB1,13.0235
Pa,La2,13.1222
Pa,La1,13.2907
Br,KB1,13.2914
Rb,Ka2,13.3358
Po,LB2,13.3404
Au,Lg1,13.3817
Rb,Ka1,13.3953
U,La2,13.4388
Po,LB1,13.447
U,La1,13.6147
Np,La2,13.7597
Hg,Lg1,13.8301
At,LB1,13.876
Np,La1,13.9441
Pu,La2,14.0842
Sr,Ka2,14.0979
Kr,KB1,14.112
Sr,Ka1,14.165
Pu,La1,14.2786
Tl,Lg1,14.2915
Rn,LB1,14.316
Am,La2,14.4119
Fr,LB2,14.45
Am,La1,14.6172
Pb,Lg1,14.7644
Fr,LB1,14.77
Ra,LB2,14.8414
Y,Ka2,14.8829
Y,Ka1,14.9584
Rb,KB1,14.9613
Ra,LB1,15.2358
Bi,Lg1,15.2477
Th,LB2,15.6237
Zr,Ka2,15.6909
Ac,LB1,15.713
Po,Lg1,15.744
Zr,Ka1,15.7751
Sr,KB1,15.8357
Pa,LB2,16.024
Th,LB1,16.2022
At,Lg1,16.251
U,LB2,16.4283
Nb,Ka2,16.521
Nb,Ka1,16.6151
Pa,LB1,16.702
Y,KB1,16.7378
Rn,Lg1,16.77
Np,LB2,16.84
U,LB1,17.22
Pu,LB2,17.2553
Fr,Lg1,17.303
Mo,Ka2,17.3743
Mo,Ka1,17.47934
Zr,KB1,17.6678
Am,LB2,17.6765
Np,LB1,17.7502
Ra,Lg1,17.849
Tc,Ka2,18.2508
Pu,LB1,18.2937
Tc,Ka1,18.3671
Ac,Lg1,18.408
Nb,KB1,18.6225
Am,LB1,18.852
Th,Lg1,18.9825
Ru,Ka2,19.1504
Ru,Ka1,19.2792
Pa,Lg1,19.568
Mo,KB1,19.6083
Rh,Ka2,20.0737
U,Lg1,20.1671
Rh,Ka1,20.2161
Tc,KB1,20.619
Np,Lg1,20.7848
Pd,Ka2,21.0201
Pd,Ka1,21.1771
Pu,Lg1,21.4173
Ru,KB1,21.6568
Ag,Ka2,21.9903
Am,Lg1,22.0652
Ag,Ka1,22.16292
Rh,KB1,22.7236
Cd,Ka2,22.9841
Cd,Ka1,23.1736
Pd,KB1,23.8187
In,Ka2,24.002
In,Ka1,24.2097
Ag,KB1,24.9424
Sn,Ka2,25.044
Sn,Ka1,25.2713
Cd,KB1,26.0955
Sb,Ka2,26.1108
Sb,Ka1,26.3591
Te,Ka2,27.2017
In,KB1,27.2759
Te,Ka1,27.4723
I,Ka2,28.3172
Sn,KB1,28.486
I,Ka1,28.612
Xe,Ka2,29.458
Sb,KB1,29.7256
Xe,Ka1,29.779
Cs,Ka2,30.6251
Cs,Ka1,30.9728
Te,KB1,30.9957
Ba,Ka2,31.8171
Ba,Ka1,32.1936
I,KB1,32.2947
La,Ka2,33.0341
La,Ka1,33.4418
Xe,KB1,33.624
Ce,Ka2,34.2789
Ce,Ka1,34.7197
Cs,KB1,34.9869
Pr,Ka2,35.5502
Pr,Ka1,36.0263
Ba,KB1,36.3782
Nd,Ka2,36.8474
Nd,Ka1,37.361
La,KB1,37.801
Pm,Ka2,38.1712
Pm,Ka1,38.7247
Ce,KB1,39.2573
Sm,Ka2,39.5224
Sm,Ka1,40.1181
Pr,KB1,40.7482
Eu,Ka2,40.9019
Eu,Ka1,41.5422
Nd,KB1,42.2713
Gd,Ka2,42.3089
Gd,Ka1,42.9962
Tb,Ka2,43.7441
Pm,KB1,43.826
Tb,Ka1,44.4816
Dy,Ka2,45.2078
Sm,KB1,45.413
Dy,Ka1,45.9984
Ho,Ka2,46.6997
Eu,KB1,47.0379
Ho,Ka1,47.5467
Er,Ka2,48.2211
Gd,KB1,48.697
Er,Ka1,49.1277
Tm,Ka2,49.7726
Tb,KB1,50.382
Tm,Ka1,50.7416
Yb,Ka2,51.354
Dy,KB1,52.119
Yb,Ka1,52.3889
Lu,Ka2,52.965
Ho,KB1,53.877
Lu,Ka1,54.0698
