# XRF K/L line energies in keV for common elements (partial, extend as needed)
# Source: https://xrfsearch.com/lines, NIST X-ray Transition Energies
# Format: element_line,energy_keV
Mg_K_alpha,1.253
Mg_K_beta,1.302
Al_K_alpha,1.486
Al_K_beta,1.557
Si_K_alpha,1.740
Si_K_beta,1.835
P_K_alpha,2.014
P_K_beta,2.137
S_K_alpha,2.307
S_K_beta,2.464
Cl_K_alpha,2.622
Cl_K_beta,2.815
K_K_alpha,3.312
K_K_beta,3.589
Ca_K_alpha,3.691
Ca_K_beta,4.012
Ti_K_alpha,4.511
Ti_K_beta,4.931
V_K_alpha,4.952
V_K_beta,5.427
Cr_K_alpha,5.415
Cr_K_beta,5.946
Mn_K_alpha,5.899
Mn_K_beta,6.490
Fe_K_alpha,6.404
Fe_K_beta,7.058
Co_K_alpha,6.930
Co_K_beta,7.649
Ni_K_alpha,7.478
Ni_K_beta,8.265
Cu_K_alpha,8.041
Cu_K_beta,8.905
Zn_K_alpha,8.638
Zn_K_beta,9.572
Ga_K_alpha,9.251
Ga_K_beta,10.264
Ge_K_alpha,9.886
Ge_K_beta,10.982
As_K_alpha,10.543
As_K_beta,11.725
Se_K_alpha,11.222
Se_K_beta,12.495
Br_K_alpha,11.924
Br_K_beta,13.290
Rb_K_alpha,13.373
Rb_K_beta,14.961
Sr_K_alpha,14.165
Sr_K_beta,15.835
Y_K_alpha,14.958
Y_K_beta,16.738
Zr_K_alpha,15.775
Zr_K_beta,17.668
Nb_K_alpha,16.615
Nb_K_beta,18.590
Mo_K_alpha,17.479
Mo_K_beta,19.608
Ru_K_alpha,19.278
Ru_K_beta,21.655
Rh_K_alpha,20.216
Rh_K_beta,22.723
Pd_K_alpha,21.174
Pd_K_beta,23.826
Ag_K_alpha,22.163
Ag_K_beta,24.942
Cd_K_alpha,23.173
Cd_K_beta,26.095
In_K_alpha,24.208
In_K_beta,27.273
Sn_K_alpha,25.271
Sn_K_beta,28.473
Sb_K_alpha,26.359
Sb_K_beta,29.697
Te_K_alpha,27.472
Te_K_beta,30.946
I_K_alpha,28.612
I_K_beta,32.221
Ba_K_alpha,32.193
Ba_K_beta,36.378
La_K_alpha,33.442
La_K_beta,37.661
Ce_K_alpha,34.716
Ce_K_beta,38.978
Pr_K_alpha,36.022
Pr_K_beta,40.332
Nd_K_alpha,37.353
Nd_K_beta,41.723
# Add L lines and more as needed
