experiment,holdout_rows,accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa
per_voltage_soilhighvoltage,1800,0.9927777777777778,0.9927777777777778,0.9927763895633559,0.9927763895633557,0.9917460317460317
all_voltages_wide_one_row_per_test,1800,0.9772222222222222,0.9772222222222222,0.9773129015462436,0.9773129015462435,0.9739682539682539
per_voltage_soillowvoltage,1799,0.9610894941634242,0.9611011904761906,0.9612231371914772,0.961212724562584,0.9555308524353859
per_voltage_soilmidvoltage,1800,0.9588888888888889,0.9588888888888889,0.9586758919048946,0.9586758919048947,0.953015873015873
per_voltage_mininglowvoltage,1796,0.920935412026726,0.9208752735959855,0.9214577491555651,0.9215034290676779,0.9096399906604276
per_voltage_aggregated,8992,0.9134786476868327,0.9134828271783397,0.9140197373245881,0.9140136390084271,0.9011183748338263
unified_base_with_voltage_categorical,8989,0.8538213371898987,0.85383964546435,0.8542394986045219,0.8542122987091234,0.832938168070578
mode_group_mining,1797,0.8024485253199778,0.8023139880952381,0.789415719689698,0.789466987222299,0.7742121927928833
per_voltage_mininghighvoltage,1797,0.7334446299387869,0.7335862872802335,0.7359742090492352,0.7358305411437683,0.6953640110619328
mode_group_soil,1800,0.6544444444444445,0.6544444444444445,0.6352194333128665,0.6352194333128665,0.6050793650793651
