feature,importance
Pt_Lb,1579.0
As_Ka,1067.0
Hf_Lb,935.0
Nb_Ka,847.0
As_Kb,759.0
Ru_Kb,726.0
Ni_Kb,686.0
Zr_Ka,671.0
Pd_Ka,623.0
Lu_La,599.0
Co_Ka,585.0
Sr_Kb,575.0
Er_La,546.0
Au_La,525.0
Tm_La,499.0
Gd_Lb,455.0
Dy_Lb,446.0
Ag_Ka,445.0
Tb_Lb,432.0
W_La,422.0
Ta_Lb,371.0
Co_Kb,350.0
Ho_Lb,321.0
Se_Kb,315.0
Fe_Kb,311.0
Yb_La,167.0
Mn_Kb,167.0
Er_Lb,154.0
Fe_Ka,153.0
Ni_Ka,141.0
Rh_Kb,138.0
Zr_Kb,130.0
Sm_Lb,127.0
Dy_La,122.0
Eu_Lb,119.0
Tb_La,118.0
K_Ka,102.0
Ti_Ka,102.0
Sn_La,101.0
Sm_La,92.0
Al_Ka,91.0
Te_La,89.0
Ce_Lb,87.0
Cl_Kb,85.0
Cd_Ka,84.0
Mn_Ka,84.0
Ta_La,83.0
Te_Ka,82.0
Mg_Ka,82.0
Ba_La,81.0
Te_Lb,81.0
Rb_Ka,80.0
Ca_Ka,80.0
I_La,80.0
Gd_La,80.0
Lu_Lb,80.0
Ir_Lb,79.0
Sn_Kb,79.0
Ag_Kb,79.0
Br_Kb,79.0
Hf_La,78.0
Rh_La,78.0
Sn_Ka,76.0
Zn_Ka,76.0
In_La,75.0
Pb_Lb,75.0
Bi_La,74.0
Ca_Kb,74.0
Ge_Kb,74.0
S_Ka,73.0
In_Lb,72.0
Nd_Lb,72.0
Pr_La,71.0
Cu_Ka,70.0
Ag_Lb,70.0
Sb_Kb,70.0
Nb_La,69.0
Pd_Kb,68.0
Cd_Kb,67.0
Zr_La,66.0
I_Ka,65.0
K_Kb,65.0
Sb_Lb,65.0
Cr_Ka,64.0
Nd_La,64.0
Nb_Lb,64.0
Zn_Kb,64.0
W_Lb,63.0
Ag_La,62.0
I_Lb,62.0
Sr_Ka,62.0
Mo_Lb,62.0
Rh_Lb,61.0
Mg_Kb,61.0
Mo_Kb,61.0
Pt_La,60.0
Pr_Lb,60.0
Cl_Ka,59.0
Ba_Ka,59.0
Cd_La,59.0
Ru_Lb,58.0
Tm_Lb,58.0
Si_Kb,58.0
In_Ka,58.0
Eu_La,57.0
Al_Kb,55.0
Mo_La,54.0
Cr_Kb,54.0
P_Kb,52.0
Cu_Kb,51.0
V_Ka,50.0
Ba_Lb,50.0
Ru_La,49.0
La_La,49.0
Ce_La,48.0
S_Kb,48.0
Mo_Ka,47.0
Sb_Ka,45.0
Sn_Lb,45.0
Pd_Lb,45.0
Bi_Lb,44.0
P_Ka,43.0
In_Kb,41.0
Ti_Kb,41.0
Rb_Kb,41.0
Y_Ka,38.0
Si_Ka,36.0
Hg_Lb,35.0
Tl_Lb,31.0
Ga_Kb,30.0
Y_Kb,28.0
Ga_Ka,26.0
Nb_Kb,26.0
Ru_Ka,22.0
Au_Lb,22.0
Os_Lb,20.0
Re_Lb,20.0
Ir_La,20.0
Se_Ka,18.0
Rh_Ka,16.0
Ge_Ka,13.0
Hg_La,9.0
Br_Ka,7.0
V_Kb,0.0
Zr_Lb,0.0
Pb_La,0.0
Tl_La,0.0
La_Lb,0.0
Os_La,0.0
Re_La,0.0
Ho_La,0.0
Yb_Lb,0.0
Pd_La,0.0
Sb_La,0.0
Cd_Lb,0.0
