,Mg_Ka,Mg_Kb,Al_Ka,Al_Kb,Si_Ka,Si_Kb,P_Ka,Zr_La,P_Kb,Nb_La,Mo_La,S_Ka,Zr_Lb,Nb_Lb,S_Kb,Ru_La,Cl_Ka,Mo_Lb,Ru_Lb,Rh_La,Cl_Kb,Rh_Lb,Pd_La,Ag_La,Pd_Lb,Cd_La,Ag_Lb,In_La,K_Ka,Cd_Lb,Sn_La,In_Lb,K_Kb,Sb_La,Sn_Lb,Ca_Ka,Te_La,Sb_Lb,I_La,Ca_Kb,Te_Lb,I_Lb,Ba_La,Ti_Ka,La_La,Ba_Lb,Ce_La,Ti_Kb,V_Ka,Pr_La,La_Lb,Nd_La,Ce_Lb,Cr_Ka,V_Kb,Pr_Lb,Sm_La,Nd_Lb,Eu_La,Mn_Ka,Cr_Kb,Gd_La,Sm_Lb,Tb_La,Fe_Ka,Eu_Lb,Mn_Kb,Dy_La,Gd_Lb,Ho_La,Co_Ka,Er_La,Tb_Lb,Fe_Kb,Tm_La,Dy_Lb,Yb_La,Ni_Ka,Ho_Lb,Co_Kb,Lu_La,Er_Lb,Hf_La,Cu_Ka,Tm_Lb,Ta_La,Ni_Kb,W_La,Yb_Lb,Zn_Ka,Re_La,Lu_Lb,Cu_Kb,Os_La,Hf_Lb,Ir_La,Ga_Ka,Ta_Lb,Pt_La,Zn_Kb,W_Lb,Au_La,Ge_Ka,Hg_La,Re_Lb,Ga_Kb,Tl_La,Os_Lb,As_Ka,Pb_La,Ir_Lb,Bi_La,Ge_Kb,Pt_Lb,Se_Ka,Au_Lb,As_Kb,Hg_Lb,Br_Ka,Tl_Lb,Se_Kb,Pb_Lb,Bi_Lb,Br_Kb,Rb_Ka,Sr_Ka,Rb_Kb,Y_Ka,Sr_Kb,Zr_Ka,Nb_Ka,Y_Kb,Mo_Ka,Zr_Kb,Nb_Kb,Ru_Ka,Mo_Kb,Rh_Ka,Pd_Ka,Ru_Kb,Ag_Ka,Rh_Kb,Cd_Ka,Pd_Kb,In_Ka,Ag_Kb,Sn_Ka,Cd_Kb,Sb_Ka,In_Kb,Te_Ka,I_Ka,Sn_Kb,Ba_Ka,Sb_Kb,target,prediction_label,prediction_score_feldspar,prediction_score_garnet,prediction_score_monazite-bra,prediction_score_nephe,prediction_score_quartz,prediction_score_rutile,prediction_score_tray,prediction_score_zircon,pred_prob,true_prob,wrong_margin
582,0.22791588,-0.14258422,0.6821509,-0.01469496,-0.284033,0.35506627,-0.13279615,-0.0057846196,-0.76623464,-0.013511783,-0.2630825,-0.4479932,-0.4479932,0.5867113,0.11869592,0.1231278,0.11714697,0.24573514,-0.43543586,-0.58886135,0.59551555,0.4875121,0.4875121,0.11195659,0.5940056,-0.7427323,-0.31068122,-0.62326247,-0.15259232,-0.15259232,-0.15275824,0.61997586,-0.45056698,-0.45056698,0.63344646,0.261157,0.26666233,0.27274662,0.53530884,-0.016041094,0.13872707,0.00096155464,-0.3502275,-0.011502778,-0.008550391,-0.4192427,0.17260693,-0.6535929,0.000650582,-0.22649838,-0.22649838,0.54012734,0.5761267,-1.3032689,-1.3032689,0.21279107,0.45369172,-0.29372776,0.6496751,-0.008626186,-0.0064356257,-0.0038205138,-0.37605652,0.5269354,-0.6512571,-0.37907755,-0.3758751,0.001958716,-0.0030781338,-0.0030781338,-0.65011287,0.37193042,-0.0028763514,-0.6507244,0.37222132,-0.6504197,-0.0038754775,-0.0048871604,-0.0033522537,0.37288693,-0.001956203,-0.004252815,-0.0033139356,0.148154,0.19063456,-0.9215468,0.37241983,-0.65082544,-0.65082544,-1.0322948,-1.0322948,-0.27101874,-0.004601481,-0.004601481,-0.6487089,0.6484893,0.0,-0.65065676,0.5226559,-0.21723951,-0.00105742,0.37193146,0.0,0.6484893,0.0,0.6484893,0.6484893,0.0,-0.0014172468,-0.0014172468,-0.009665333,-0.10362208,-1.2960503,0.6484893,0.9171024,0.6484893,-0.0016326649,0.6484893,0.0,0.0,-0.0029827205,-0.0060434504,-0.17927364,-0.29391423,-0.002311921,0.24540313,0.9171024,0.0,-1.0643344,0.18958966,0.37479666,0.9171024,-0.3742419,-0.2981362,0.6484893,0.6484893,0.528533,0.0,0.3718264,0.3727042,-0.0032964903,-0.006323096,0.28653446,-0.0017644832,-0.005531492,0.824761,0.1291536,-0.18238394,-0.010042547,-0.1606188,-0.48495305,-0.2654552,-0.2654552,0.5440123,0.11356552,zircon,tray,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.9996,0.0,0.9996,0.0,0.9996
194,-0.4176803,0.576393,0.12512302,-0.28606558,0.3731536,-0.14823577,-0.5512681,-0.12985049,-0.017343074,-0.43313086,-0.25874186,-0.1524217,-0.1524217,0.5932967,-0.28234637,-0.5819268,-0.006977165,0.1269201,0.5978552,0.48773277,0.37398252,-0.27415746,-0.27415746,-0.8037624,0.25221047,1.0230342,-0.6261611,0.2585288,0.12974732,0.12974732,-0.61823493,0.26650167,0.26461825,0.26461825,-0.010148143,0.865151,0.27222818,-0.30488122,-0.33613116,0.27931622,0.28530836,-0.15348615,0.3071957,0.16002531,0.16343647,0.49799457,-0.19919008,-0.19725049,-0.19337083,0.18910389,0.18910389,0.0030365668,0.20774372,0.40528026,0.40528026,-0.53059053,0.45722798,-0.0009640269,0.4605297,-0.38366693,-0.0041664285,-0.0015364519,-0.37451625,-0.00034898333,0.24533647,0.28795657,0.9193716,0.73748,-0.0014512613,-0.0014512613,0.3744266,-0.00096835475,-0.6505222,-0.0015392365,0.64904547,-0.0011076839,-0.6512263,0.6467387,-0.0017411753,0.64966625,-0.64986974,-0.002605954,0.28958893,0.15297675,0.5340724,0.2761318,0.37463412,0.37348357,0.37348357,0.35080987,0.35080987,0.34542686,-0.37729633,-0.37729633,0.0012702352,0.0,0.64963704,-0.6506401,0.2879588,0.002488926,0.5227068,-0.65035605,0.0,0.0,0.0,0.0,0.0,0.0,0.0002821769,0.0002821769,0.3126214,-0.18570149,0.20613047,0.62309486,0.0,0.64963704,0.37474567,1.2992741,0.0,0.64963704,-0.0013392444,-0.9205663,0.2550999,-0.0013068216,-0.9187576,0.4618205,0.0,0.91872555,1.1007799,-0.0025804476,-0.6482025,0.64963704,-0.27834237,-0.03156235,0.0,0.0,-0.47729594,0.0,0.37404603,-0.00016979859,-0.65082633,-0.004617151,0.28934473,0.6506794,-0.002699627,0.31675735,0.25425065,0.614155,0.98708534,-0.47910595,-0.3141672,0.1393015,0.353778,0.33539036,0.11970028,zircon,tray,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.9994,0.0003,0.9994,0.0003,0.9991
350,-0.5604602,0.124026716,-0.4011973,0.37226963,-0.1320169,0.48445246,-0.3985404,-0.40122017,1.0082027,0.48966587,-0.117736794,0.11869267,0.11869267,0.12577124,-0.13545099,0.0047182944,0.60287577,-0.5795176,0.255478,-0.9181997,-0.42156136,0.13860577,0.13860577,-0.3018335,0.13314833,0.1410161,-0.15043183,0.6249018,-0.9765081,-0.9765081,0.51003486,-0.4413142,-0.7845941,-0.7845941,1.0827998,0.13684247,-0.8398491,0.2839288,-0.5114311,-0.16424021,-0.5045133,0.43487662,0.71546054,0.9894117,0.47351325,0.78786904,0.65137947,0.5066183,0.0064288257,-0.22010559,-0.22010559,-0.7293888,-0.53935695,-0.5337057,-0.5337057,0.0030337877,-0.2904592,0.0018400403,-0.28710788,0.5204521,-0.0019050154,-0.3750072,-0.918338,-0.3738206,0.2485587,-0.37606546,0.0029584614,0.0032224096,-0.6506614,-0.6506614,0.0009383983,0.00065527525,0.00036739712,8.391308e-05,-0.65011173,0.3762118,0.37513044,-0.0016671654,0.37559456,0.0016511214,-0.6498637,0.6499167,-0.37439543,-0.34784353,-0.46830013,0.26320076,-0.649955,-2.0180503e-05,-2.0180503e-05,-0.692053,-0.692053,-0.29419762,-0.37575987,-0.37575987,0.0028461951,0.65078086,0.65078086,-0.6506224,0.53110087,-0.21091133,-0.39112094,0.37625507,0.65078086,0.0,0.92034316,0.0,0.0,0.0,0.00200394,0.00200394,-0.1447231,0.75969756,-0.27045828,-0.16727506,0.0,0.0,0.3769602,0.0,0.0,0.0,-0.65056753,-0.37602147,-0.067777954,0.001290039,0.29321632,-0.28593674,1.1271856,0.65078086,0.69733,1.3443233,0.0036397458,0.0,0.4082071,0.7636506,0.65078086,0.0,0.34651357,0.0,0.37626132,-0.64976466,0.37550974,0.372983,0.0011418269,0.46403322,-0.29055533,0.86260986,0.2462689,0.61934274,0.61269605,-0.1503457,0.27489692,0.27966538,0.22569607,0.23558766,0.55869484,nephe,zircon,0.0,0.0,0.0,0.0074,0.0,0.0,0.0,0.9926,0.9926,0.0074,0.9852000000000001
63,0.57425356,0.4695172,-0.26346156,1.2015343,0.6033278,0.117647186,-0.867637,-0.55246115,-0.29267895,-0.0061526336,0.69842285,-0.2931712,-0.2931712,0.367084,0.25131783,0.0008126638,-0.14074558,-0.27843076,-0.0036326845,-0.13715142,-0.42486015,-0.91478884,-0.91478884,0.61044,0.8163532,0.82446057,-0.15435328,0.5049049,-0.14588746,-0.14588746,-0.0041904384,0.13848577,-0.7872361,-0.7872361,0.5222483,1.077951,0.7617039,0.0029427086,0.4153017,0.1393743,0.6739795,0.1546846,0.711518,-0.38269424,-0.18322639,-0.65393317,1.3838683,0.34727162,-0.19229071,-0.74236,-0.74236,-0.21025096,-0.010401242,-0.0046698996,-0.0046698996,0.41188002,0.45830187,0.6499031,0.0020521046,-0.013230252,-0.37862512,0.73626035,0.7381734,-0.91893864,0.65063554,-0.377131,0.0013736784,-0.91806483,0.6491547,0.6491547,0.37510285,-0.6503169,-0.00074844697,-0.0010313012,-0.00017011446,-0.0006091129,0.37361166,1.0592864,0.37407258,-0.6496133,0.37544686,-0.65147054,-0.00018292178,0.15451287,0.18408348,0.2579626,-0.649954,-0.65079117,-0.65079117,0.9119834,0.9119834,-1.0789363,-0.37682378,-0.37682378,0.37691072,0.6499917,0.6499917,-0.6506179,0.73533386,-0.7337062,-0.020308044,-0.00057613663,0.6499917,0.6499917,0.0,0.0,0.0,0.0,0.37614724,0.37614724,0.18142018,-0.1786148,-0.561543,0.86676955,0.0,0.6499917,0.37544587,0.0,0.6499917,0.0,0.64927846,0.28883606,-0.07231332,0.6493139,-0.9187841,-0.28754178,0.6499917,0.0,0.5401512,0.97318923,-0.6482089,0.0,-0.6665602,0.90820557,0.91922706,0.6499917,-0.4963909,0.0,0.374748,0.65027183,-0.65093815,0.37150797,0.5303211,-0.28865504,-0.29212743,0.03445318,-0.18938968,0.17073524,-0.0036950607,-0.15355296,0.13397704,0.035387132,0.09084251,0.5591624,-0.16737297,zircon,nephe,0.0002,0.0006,0.0008,0.9908,0.0001,0.0001,0.0,0.0074,0.9908,0.0074,0.9834
847,0.89109176,-1.4202305,-0.7020106,0.3753978,0.006490605,-0.43163088,-0.54409987,-0.3986816,0.121367775,-0.42589915,-0.85840565,0.3668112,0.3668112,-0.42795765,-1.5109227,0.8262297,0.6062056,0.005392571,0.37908414,0.38108844,0.92830384,-0.124534175,-0.124534175,0.1266632,-0.74147296,-0.9071986,-0.6205597,0.392158,-0.13980038,-0.13980038,0.26809618,-0.13280137,-0.2831857,-0.2831857,0.13966551,0.2751381,-0.83810544,-0.46498904,-0.33016977,0.67521095,0.0020628807,0.1611361,0.007825824,-0.3768464,-0.1785501,-0.19573095,0.0026255972,0.004568155,-0.4035999,-0.0013562442,-0.0013562442,0.38376507,0.2138838,-0.24700539,-0.24700539,-0.24153112,0.6532754,-0.28809983,-0.28596476,-0.3805655,-0.37676096,0.29315957,-0.9183175,-0.3730966,0.9855738,-0.3752663,0.0041701286,0.0043707546,0.3769883,0.3769883,-0.6501129,0.37744793,-0.65052223,0.0008875825,-0.6501102,-0.65042025,-0.65122634,-0.6519537,0.6519601,0.002460184,-0.64986986,-0.00017897815,-0.37367314,1.065823,-0.001160681,-0.011179069,0.37793654,0.37678713,0.37678713,1.4307846,1.4307846,-0.71872663,0.0011163753,0.0011163753,0.3795777,0.0,0.65135336,0.0010098389,0.2921062,-0.45283294,0.2861512,0.0014077055,0.0,0.65135336,0.0,0.0,0.0,0.0,0.002717374,0.002717374,-0.15392911,0.44205296,0.40493807,0.62167686,0.0,0.0,0.6531998,0.0,0.65135336,0.0,0.0010905479,-0.3752598,-0.15495093,0.6540884,0.29462248,0.006706765,0.0,0.0,0.37919125,0.5446945,0.0044549596,0.0,0.337524,-0.033068072,0.0,0.0,0.36073518,0.0,-0.6503938,-0.6497585,-0.6508279,0.37399328,-0.9195675,0.005311334,-0.28980523,0.730717,-0.4915252,-0.81622386,0.32664964,0.14338009,0.14189902,-0.38179767,-0.15159382,1.0511318,0.35243168,zircon,tray,0.0004,0.0164,0.0001,0.0003,0.0019,0.0004,0.9717,0.0087,0.9717,0.0087,0.963
678,-0.4167984,0.68330204,-0.8707778,0.12186354,-0.13645193,0.24221092,0.3657587,-0.12889382,0.23856926,0.36828652,-0.25709912,0.11324084,0.11324084,0.7029989,-0.004410694,3.7653313e-05,0.48528892,0.601329,0.8126827,-0.5835847,0.2547843,0.49504325,0.49504325,0.8287925,-0.9205668,0.0070514833,-0.15549195,-0.29636613,0.3851389,0.3851389,-0.7928304,0.6274888,1.0513974,1.0513974,0.39729118,-0.482121,0.27320468,0.14404687,0.13812777,-0.5136034,0.14470328,0.6826693,-0.16604096,0.46642277,0.16421466,0.3427855,0.5007638,-0.65050286,-0.9160584,0.36908773,0.36908773,-0.7340345,-0.007546835,0.21151486,0.21151486,0.21700297,0.6482108,-0.29109,0.6514365,-0.38260955,0.5269961,-0.37628102,0.0009707958,-0.37514415,-0.64958036,0.28843498,0.0011313539,-0.37389997,-0.0011730734,-0.0011730734,-0.0003945661,0.6492236,0.37425447,-0.6507257,0.3748096,0.37439188,0.3733055,-0.002997778,-0.0014621994,0.00031144434,-5.0817252e-05,-0.002327718,-0.9193998,-0.0038019107,-0.2225494,-0.014217741,-0.00017715416,-0.6508128,-0.6508128,0.7599485,0.7599485,0.109114885,-0.0019224039,-0.0019224039,-0.6487399,0.0,0.91900396,0.37409672,-0.0022132695,-1.450875,-0.008264215,-0.65035796,0.0,0.6498339,0.0,0.6498339,0.6498339,0.0,0.37572342,0.37572342,0.95636874,0.26263097,-0.25695124,-0.11453196,0.0,0.0,-5.866595e-05,0.6498339,0.0,0.0,-0.6505822,-0.0022082434,-0.2553115,0.64902437,-0.3748499,0.0029850486,0.6498339,0.0,0.37356266,0.69276214,-0.6482032,0.0,0.1604576,0.20907354,0.0,0.6498339,-0.23680484,0.0,0.3744275,-0.6497585,-0.6508279,0.37106714,-0.00079694233,0.0015896114,-0.2927949,0.17203385,-0.8625777,0.0024255975,-0.18492712,-0.47831237,0.3995123,-0.3885517,0.46817285,-0.013703904,0.5531699,zircon,tray,0.0016,0.0011,0.001,0.0112,0.047,0.002,0.9198,0.0162,0.9198,0.0162,0.9036
339,-0.016008815,-0.5648004,-0.26936382,0.11621124,-0.4310228,-0.15217386,0.12300166,0.35686305,-0.021812677,0.11739119,0.24649523,0.46961975,0.46961975,0.90334487,-0.7537025,0.7054071,0.47903883,-0.0074717584,0.24463864,0.80792075,0.12419736,0.48877615,0.48877615,-0.46755052,-0.75020516,-0.4230332,-0.16052388,-0.010928392,-0.30007166,-0.30007166,0.37918735,-0.61459213,-0.14643984,-0.14643984,-0.0141953835,0.5154862,-0.31464237,-0.15158741,-0.17475069,-0.3394106,-0.51156116,0.00018349422,-0.002684852,0.5977319,0.4644612,-0.008512355,0.34029493,-0.65311134,0.34604302,-0.22590044,-0.22590044,0.20032243,-0.016510097,-0.25337446,-0.25337446,0.4075386,-0.004460185,-0.003185969,0.24415155,0.27114668,0.28418458,0.73250586,-0.3757832,0.28806296,0.45636982,0.73147917,-0.37568823,-0.00088504626,-0.0027319996,-0.0027319996,0.37266785,-0.6503146,-0.6505204,0.37186053,-0.65011275,-0.002397132,-0.0035292734,0.37018204,-0.003054318,0.37335113,-0.6498599,0.86717176,-0.0026889588,-0.54780054,-0.0180169,-0.041843854,0.37289387,-0.0029081118,-0.0029081118,0.4240649,0.4240649,0.31221128,0.5257388,0.5257388,0.6486574,0.64872825,0.0,0.37200385,0.5255384,0.37406465,-0.3991813,0.3722791,0.0,0.0,0.0,0.64872825,0.64872825,0.64872825,0.37373888,0.37373888,0.17886819,-0.093926325,-0.28423777,0.85952145,0.0,0.64872825,-0.0016025319,1.1236303,0.64872825,0.0,-0.0025897624,0.28578568,-1.1431396,0.2413915,-0.0019042045,-0.29004624,0.0,0.64872825,0.5352234,0.18967685,0.3752425,0.0,0.22684266,-0.7249754,0.0,1.1236303,-0.25824353,0.64872825,0.3723161,-0.0014700596,-0.6509379,0.36907536,-0.0029408769,-0.29114094,-0.0045579323,0.18666321,-0.5173968,0.7423807,-0.008425616,-0.010094365,-0.8487483,-0.37729788,0.20944838,-0.01330293,0.30101424,monazite-bra,rutile,0.0035,0.0506,0.2011,0.0769,0.0147,0.6426,0.0091,0.0015,0.6426,0.2011,0.44149999999999995
1468,0.24457526,0.0026006054,0.4855453,-0.13564199,-0.57547283,-0.58535594,-0.2535482,0.3727052,0.36782995,0.92276484,-0.25041145,-0.14342722,-0.14342722,-0.0006888871,0.25951195,-0.91330135,-1.103955,0.006283497,0.71759623,-0.27191877,-0.12764344,0.14242773,0.14242773,0.2576861,0.13808078,-0.1202617,-0.45433283,0.13810961,-0.28819764,-0.28819764,0.0030762309,0.1460083,0.008301028,0.008301028,0.40594807,0.14039385,-0.8375737,0.009807381,0.7926976,-0.32896236,-0.3230461,0.30343702,0.3156523,-0.59253436,0.0028554245,0.65273917,0.5078516,0.18587492,-0.40316814,0.19563901,0.19563901,-0.7267735,-0.0076045995,-0.00029341778,-0.00029341778,0.4171464,0.24867092,-0.2877319,0.25204596,-0.38743353,-0.37655047,-0.37398693,0.5361133,0.2948305,0.004466593,0.0011573983,0.0044565443,-0.37160647,0.0012409247,0.0012409247,0.0020083617,-0.6503166,0.65280986,-0.6507207,0.0020171409,0.0015781514,0.00044385582,0.37559685,0.6523583,0.0027224624,-0.64986277,9.532638e-05,-0.9193589,0.5857512,0.18991931,0.8960481,0.8759709,0.3771693,0.3771693,0.0078134835,0.0078134835,-0.15645106,0.29283494,0.29283494,-0.64877015,0.6515384,0.0,-0.6506216,0.0012446729,0.20485303,-0.39041466,0.0016226325,0.92141443,0.0,0.0,0.6515384,0.6515384,0.0,0.0030749773,0.0030749773,-0.14198616,0.36351988,-0.26833552,0.5901372,0.0,0.0,0.0023639854,0.92141443,0.6515384,0.0,0.37747222,0.001209896,-0.062386982,0.654548,-0.37257433,-0.28443214,0.6515384,0.0,0.38014874,-0.73583174,0.0047118156,0.0,0.08435732,0.40477324,0.0,0.6515384,-0.24198617,0.0,0.65297705,0.37855607,0.37696457,-0.0018296394,0.5345,-0.64620084,0.2485929,0.3382534,-0.33248657,0.48270318,0.0018861028,-0.3048714,0.40829724,-0.67656,0.10707901,0.24006446,-0.10798265,rutile,feldspar,0.6529,0.025,0.0017,0.0445,0.0045,0.2705,0.0007,0.0003,0.6529,0.2705,0.3824
429,-0.27188414,-0.40894198,0.48030564,-0.28160596,0.60703355,0.36728278,-0.3991909,-0.26047093,0.5917995,-0.13867463,-0.5432507,0.80600524,0.80600524,-0.58697337,0.37517735,-0.13166766,0.25311598,-0.42407402,0.7122501,0.3771505,-0.42217505,0.0077407146,0.0077407146,0.12417194,0.37791246,-0.2672729,1.1413933,-0.4497926,0.13462953,0.13462953,0.13449997,0.0059554228,0.26966056,0.26966056,-0.6561883,0.40121278,0.53090936,0.28321186,0.28276604,0.14224088,0.67730075,-0.3170715,-0.342869,0.74074185,-0.1809919,-0.19804879,0.00010486379,-0.4094674,0.18635419,0.19252673,0.19252673,0.5503001,-0.009315196,-0.5339827,-0.5339827,0.0026145172,-0.29075137,0.0014833389,0.24951267,-0.012794397,1.0825148,0.291423,-0.37320137,0.7393115,-0.28875124,0.73715615,0.29358274,0.0029300395,-3.6635658e-05,-3.6635658e-05,0.37634042,0.00045041967,-0.65052086,-0.00012104978,1.230121,0.00030054667,-0.0008335303,0.64897674,-0.0003508172,0.37702048,-0.6498623,0.37451893,0.001105304,0.15723962,-0.4698591,0.5004456,0.000963194,-0.00022052196,-0.00022052196,0.7633741,0.7633741,0.55109423,-0.9203669,-0.9203669,-0.6487752,0.0,0.65063506,0.87293804,-0.9205275,-0.21133697,-0.018705336,0.00033523559,0.65063506,0.0,0.65063506,0.65063506,0.65063506,0.0,0.37737983,0.37737983,-0.7265334,0.18674229,-0.8987421,0.5802294,0.0,0.0,0.0010903943,0.0,0.65063506,0.65063506,0.00010107992,-0.0005934341,0.50621516,0.0008836706,0.29285762,-0.28625983,0.65063506,0.0,0.19747113,0.97610164,0.0034318918,0.0,-0.09878927,0.17403215,0.0,0.65063506,-0.03354752,0.65063506,0.0003567012,-0.6497665,-0.6509401,0.37272972,-0.37481323,-0.2873993,0.00012052402,-0.13357547,-0.6851104,0.17331798,-0.18179531,-0.30832267,0.13878442,-0.5188952,-0.16934504,-0.39343125,-0.5026379,monazite-bra,feldspar,0.522,0.0132,0.3709,0.0638,0.0011,0.0146,0.0005,0.014,0.522,0.3709,0.1511
1518,0.5766085,0.58091205,0.4788691,-0.28269437,0.71419936,-0.010417715,0.25238815,0.12906007,0.5903968,0.2509001,0.13631357,-0.5956458,-0.5956458,-0.5879224,0.91813296,0.60659,-0.2805928,0.25576454,0.3738172,0.13039768,-0.5791567,0.26163968,0.26163968,0.7243534,-0.58065784,0.009362904,0.8350018,0.3870708,0.13342328,0.13342328,0.13328406,-0.44285703,0.0028826608,0.0028826608,0.13514234,0.13499941,0.98190534,-0.3019026,-0.16634886,-0.00807336,0.14713632,-1.1198404,0.16169524,0.987752,-0.37696266,-0.6530095,1.0437638,-0.19489583,0.0050720605,-0.22121,-0.22121,0.007693338,0.20755748,-0.24934687,-0.24934687,-0.5291894,-0.6507332,0.2466935,-0.28788227,0.27861518,-0.0026925777,-0.37553695,-0.91833943,0.29204285,-0.6488756,0.28974137,0.0021657757,0.0024358188,0.8722688,0.8722688,0.00038160538,0.00010018061,-0.6505209,-0.65072095,0.00038998332,-4.901515e-05,-0.65122455,0.3733817,-0.65088254,-0.6496133,0.65104413,0.3740425,0.2914616,0.708114,-0.010679711,0.25892207,-0.649954,-0.65079117,-0.65079117,-1.0290515,-1.0290515,0.32763907,-0.37629038,-0.37629038,0.0022799238,0.0,0.0,0.3751915,0.28983328,-0.7329785,-0.3942531,-1.603889e-05,0.65038776,0.65038776,0.0,0.91978717,0.91978717,0.0,-0.6493426,-0.6493426,-0.72654295,-0.56732595,-0.2765429,-0.181303,0.65038776,0.0,-0.6498633,0.0,0.0,0.0,-0.00024667484,-0.3765475,0.10146881,0.6506341,-0.9187841,0.82654583,0.0,0.0,0.37605816,1.1035824,-0.6482089,0.65038776,-0.37446904,0.16888002,0.0,0.0,0.50549084,0.65038776,-0.6503813,-0.6497676,-0.00077836745,-0.0033898246,0.531399,-0.64760476,0.6499182,-0.13193876,-0.18771219,-0.17599937,-0.59045404,0.40419525,0.27124733,-0.5176584,-0.17281455,0.34590885,0.41990182,nephe,zircon,0.0024,0.0013,0.0007,0.4563,0.0013,0.0006,0.0006,0.5369,0.5369,0.4563,0.08060000000000006
