image_path,label_name,pred_name,y_true,y_pred,correct,pred_confidence
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\023012_2026_04_14_nephe_150\023129_2026_04_14_nephe.jpg,nephe,nephe,3,3,1,0.956479549407959
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\019712_2026_04_03_rutile_150\019771_2026_04_03_rutile.jpg,rutile,rutile,5,5,1,0.999995231628418
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\019562_2026_04_03_rutile_150\019570_2026_04_03_rutile.jpg,rutile,rutile,5,5,1,0.9999743700027466
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\023012_2026_04_14_nephe_150\023085_2026_04_14_nephe.jpg,nephe,nephe,3,3,1,0.9999891519546509
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\024362_2026_04_16_garnet_150\024419_2026_04_16_garnet.jpg,garnet,garnet,1,1,1,0.9999653100967407
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\023012_2026_04_14_nephe_150\023107_2026_04_14_nephe.jpg,nephe,nephe,3,3,1,0.9997846484184265
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\019712_2026_04_03_rutile_150\019721_2026_04_03_rutile.jpg,rutile,rutile,5,5,1,0.9999890327453613
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\023312_2026_04_14_nephe_150\023378_2026_04_14_nephe.jpg,nephe,nephe,3,3,1,0.9996028542518616
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\022862_2026_04_14_zircon_150\023002_2026_04_14_zircon.jpg,zircon,zircon,7,7,1,0.9999967813491821
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020762_2026_04_08_feldspar_150\020799_2026_04_08_feldspar.jpg,feldspar,feldspar,0,0,1,0.848272979259491
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\024362_2026_04_16_garnet_150\024459_2026_04_16_garnet.jpg,garnet,garnet,1,1,1,0.9999992847442627
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\024962_2026_04_21_tray_150\025097_2026_04_21_tray.jpg,tray,tray,6,6,1,0.9999983310699463
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\024062_2026_04_15_garnet_150\024148_2026_04_15_garnet.jpg,garnet,garnet,1,1,1,0.9911212921142578
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\025562_2026_04_22_tray_150\025656_2026_04_22_tray.jpg,tray,tray,6,6,1,0.9999921321868896
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021812_2026_04_10_quartz_150\021960_2026_04_10_quartz.jpg,quartz,quartz,4,4,1,0.993920087814331
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\025562_2026_04_22_tray_150\025684_2026_04_22_tray.jpg,tray,tray,6,6,1,0.9999984502792358
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\023762_2026_04_15_nephe_150\023866_2026_04_15_nephe.jpg,nephe,nephe,3,3,1,0.9972444772720337
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\019262_2026_04_03_rutile_150\019327_2026_04_03_rutile.jpg,rutile,rutile,5,5,1,0.999921441078186
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\023912_2026_04_15_garnet_150\023917_2026_04_15_garnet.jpg,garnet,garnet,1,1,1,0.8833168148994446
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\024812_2026_04_21_tray_150\024917_2026_04_21_tray.jpg,tray,tray,6,6,1,0.9999998807907104
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020762_2026_04_08_feldspar_150\020791_2026_04_08_feldspar.jpg,feldspar,feldspar,0,0,1,0.9886094331741333
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\025562_2026_04_22_tray_150\025597_2026_04_22_tray.jpg,tray,tray,6,6,1,0.9999994039535522
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\024812_2026_04_21_tray_150\024860_2026_04_21_tray.jpg,tray,tray,6,6,1,0.9999998807907104
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021212_2026_04_08_quartz_150\021215_2026_04_08_quartz.jpg,quartz,quartz,4,4,1,0.9997958540916443
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020462_2026_04_07_feldspar_150\020478_2026_04_07_feldspar.jpg,feldspar,feldspar,0,0,1,0.999993085861206
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\024512_2026_04_16_garnet_150\024647_2026_04_16_garnet.jpg,garnet,garnet,1,1,1,0.9997662901878357
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020762_2026_04_08_feldspar_150\020774_2026_04_08_feldspar.jpg,feldspar,feldspar,0,0,1,0.9998387098312378
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020762_2026_04_08_feldspar_150\020881_2026_04_08_feldspar.jpg,feldspar,feldspar,0,0,1,0.9992105960845947
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\022412_2026_04_13_zircon_150\022511_2026_04_13_zircon.jpg,zircon,zircon,7,7,1,0.9999940395355225
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021362_2026_04_08_quartz_150\021395_2026_04_08_quartz.jpg,quartz,quartz,4,4,1,0.9204238653182983
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021212_2026_04_08_quartz_150\021234_2026_04_08_quartz.jpg,quartz,quartz,4,4,1,0.9999899864196777
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\018662_2026_04_02_monazite-bra_150\018679_2026_04_02_monazite-bra.jpg,monazite-bra,monazite-bra,2,2,1,0.9999873638153076
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\019562_2026_04_03_rutile_150\019640_2026_04_03_rutile.jpg,rutile,rutile,5,5,1,0.9997203946113586
