image_path,label_name,pred_name,y_true,y_pred,correct,pred_confidence
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\023462_2026_04_14_nephe_150\023499_2026_04_14_nephe.jpg,nephe,quartz,3,4,0,0.9278504848480225
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020462_2026_04_07_feldspar_150\020564_2026_04_07_feldspar.jpg,feldspar,quartz,0,4,0,0.8522412180900574
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020462_2026_04_07_feldspar_150\020601_2026_04_07_feldspar.jpg,feldspar,quartz,0,4,0,0.8786365985870361
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021362_2026_04_08_quartz_150\021381_2026_04_08_quartz.jpg,quartz,nephe,4,3,0,0.6345992088317871
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\024362_2026_04_16_garnet_150\024439_2026_04_16_garnet.jpg,garnet,nephe,1,3,0,0.7725939750671387
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021212_2026_04_08_quartz_150\021329_2026_04_08_quartz.jpg,quartz,nephe,4,3,0,0.6053145527839661
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\023012_2026_04_14_nephe_150\023024_2026_04_14_nephe.jpg,nephe,quartz,3,4,0,0.6980051398277283
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021362_2026_04_08_quartz_150\021436_2026_04_08_quartz.jpg,quartz,nephe,4,3,0,0.6791254878044128
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021212_2026_04_08_quartz_150\021275_2026_04_08_quartz.jpg,quartz,nephe,4,3,0,0.824249267578125
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\018212_2026_04_02_monazite-bra_150\018286_2026_04_02_monazite-bra.jpg,monazite-bra,quartz,2,4,0,0.8699581623077393
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\023312_2026_04_14_nephe_150\023358_2026_04_14_nephe.jpg,nephe,monazite-bra,3,2,0,0.4273391366004944
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\018662_2026_04_02_monazite-bra_150\018769_2026_04_02_monazite-bra.jpg,monazite-bra,nephe,2,3,0,0.43236374855041504
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021662_2026_04_09_quartz_150\021718_2026_04_09_quartz.jpg,quartz,nephe,4,3,0,0.9959470629692078
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\024062_2026_04_15_garnet_150\024126_2026_04_15_garnet.jpg,garnet,monazite-bra,1,2,0,0.6546111106872559
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\018212_2026_04_02_monazite-bra_150\018341_2026_04_02_monazite-bra.jpg,monazite-bra,quartz,2,4,0,0.9228634238243103
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021812_2026_04_10_quartz_150\021932_2026_04_10_quartz.jpg,quartz,zircon,4,7,0,0.6064690947532654
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021062_2026_04_08_quartz_150\021203_2026_04_08_quartz.jpg,quartz,feldspar,4,0,0,0.9792985916137695
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020912_2026_04_08_feldspar_150\021043_2026_04_08_feldspar.jpg,feldspar,quartz,0,4,0,0.5200334191322327
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\017762_2026_04_01_rutile_150\017829_2026_04_01_rutile.jpg,rutile,quartz,5,4,0,0.8095130324363708
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021362_2026_04_08_quartz_150\021365_2026_04_08_quartz.jpg,quartz,nephe,4,3,0,0.8869379758834839
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021662_2026_04_09_quartz_150\021691_2026_04_09_quartz.jpg,quartz,nephe,4,3,0,0.8965098857879639
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021062_2026_04_08_quartz_150\021204_2026_04_08_quartz.jpg,quartz,feldspar,4,0,0,0.9752166867256165
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\018662_2026_04_02_monazite-bra_150\018796_2026_04_02_monazite-bra.jpg,monazite-bra,rutile,2,5,0,0.5688198208808899
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021662_2026_04_09_quartz_150\021712_2026_04_09_quartz.jpg,quartz,nephe,4,3,0,0.7812049984931946
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\018962_2026_04_02_monazite-bra_150\018966_2026_04_02_monazite-bra.jpg,monazite-bra,rutile,2,5,0,0.6089920401573181
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021062_2026_04_08_quartz_150\021144_2026_04_08_quartz.jpg,quartz,feldspar,4,0,0,0.9990794658660889
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\023312_2026_04_14_nephe_150\023342_2026_04_14_nephe.jpg,nephe,quartz,3,4,0,0.9563848972320557
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\017762_2026_04_01_rutile_150\017840_2026_04_01_rutile.jpg,rutile,quartz,5,4,0,0.7459041476249695
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021062_2026_04_08_quartz_150\021148_2026_04_08_quartz.jpg,quartz,feldspar,4,0,0,0.5542109608650208
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021662_2026_04_09_quartz_150\021719_2026_04_09_quartz.jpg,quartz,nephe,4,3,0,0.7594524621963501
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020312_2026_04_07_feldspar_150\020399_2026_04_07_feldspar.jpg,feldspar,quartz,0,4,0,0.9111436605453491
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\019262_2026_04_03_rutile_150\019329_2026_04_03_rutile.jpg,rutile,nephe,5,3,0,0.9991629123687744
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\024062_2026_04_15_garnet_150\024095_2026_04_15_garnet.jpg,garnet,nephe,1,3,0,0.999534010887146
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021812_2026_04_10_quartz_150\021816_2026_04_10_quartz.jpg,quartz,nephe,4,3,0,0.9838518500328064
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\018662_2026_04_02_monazite-bra_150\018735_2026_04_02_monazite-bra.jpg,monazite-bra,nephe,2,3,0,0.3039171099662781
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\018662_2026_04_02_monazite-bra_150\018707_2026_04_02_monazite-bra.jpg,monazite-bra,rutile,2,5,0,0.7321862578392029
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021362_2026_04_08_quartz_150\021388_2026_04_08_quartz.jpg,quartz,nephe,4,3,0,0.9962500929832458
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\019412_2026_04_03_rutile_150\019533_2026_04_03_rutile.jpg,rutile,nephe,5,3,0,0.6001539826393127
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\023762_2026_04_15_nephe_150\023857_2026_04_15_nephe.jpg,nephe,quartz,3,4,0,0.9877358078956604
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020762_2026_04_08_feldspar_150\020776_2026_04_08_feldspar.jpg,feldspar,quartz,0,4,0,0.7337350845336914
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020312_2026_04_07_feldspar_150\020418_2026_04_07_feldspar.jpg,feldspar,quartz,0,4,0,0.6617695093154907
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021062_2026_04_08_quartz_150\021129_2026_04_08_quartz.jpg,quartz,feldspar,4,0,0,0.9887634515762329
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021062_2026_04_08_quartz_150\021123_2026_04_08_quartz.jpg,quartz,feldspar,4,0,0,0.9980981945991516
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\023312_2026_04_14_nephe_150\023383_2026_04_14_nephe.jpg,nephe,quartz,3,4,0,0.7611865997314453
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021362_2026_04_08_quartz_150\021485_2026_04_08_quartz.jpg,quartz,nephe,4,3,0,0.41834086179733276
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\018212_2026_04_02_monazite-bra_150\018249_2026_04_02_monazite-bra.jpg,monazite-bra,quartz,2,4,0,0.8969683647155762
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021662_2026_04_09_quartz_150\021753_2026_04_09_quartz.jpg,quartz,nephe,4,3,0,0.6497004628181458
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020462_2026_04_07_feldspar_150\020503_2026_04_07_feldspar.jpg,feldspar,rutile,0,5,0,0.999733030796051
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\024512_2026_04_16_garnet_150\024527_2026_04_16_garnet.jpg,garnet,nephe,1,3,0,0.681484043598175
