epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.77392,1.65601,3.69458,1.39328,0.00333,1,0.2613,0.20888,0.52832,3.63815,0.8093,0,0,0
2,16.7499,1.61743,4.19894,1.38572,0.00333,1,0.26239,0.23422,0.52263,3.60764,0.82377,1.9802e-05,1.9802e-05,1.9802e-05
3,24.2447,1.65884,3.74309,1.35811,0.00333,1,0.26264,0.23449,0.5093,3.53909,0.85224,3.9208e-05,3.9208e-05,3.9208e-05
4,31.6846,1.33758,3.44789,1.17112,0.00333,1,0.2815,0.25407,0.49092,3.47775,0.82266,5.8218e-05,5.8218e-05,5.8218e-05
5,39.2124,1.09727,3.55469,1.07072,0.00333,1,0.44948,0.4423,0.50951,3.31844,0.80744,7.6832e-05,7.6832e-05,7.6832e-05
6,46.8261,0.82463,3.41316,0.94261,0.00333,1,0.37305,0.35766,0.57929,3.2915,0.82131,9.505e-05,9.505e-05,9.505e-05
7,54.3699,0.78563,3.34161,0.99461,0.00333,1,0.54151,0.31238,0.73133,3.41129,0.8408,0.000112872,0.000112872,0.000112872
8,62.7305,0.55091,2.86753,0.87392,0.00333,1,0.5895,0.47868,0.94484,3.50516,0.92661,0.000130298,0.000130298,0.000130298
9,70.0076,0.94669,3.25119,1.06624,0.00333,1,0.68455,0.509,1.32304,3.72467,1.22353,0.000147328,0.000147328,0.000147328
10,77.6183,0.81569,2.64318,0.90673,0.00333,1,0.64697,0.44697,1.45454,3.83466,1.29493,0.000163962,0.000163962,0.000163962
11,85.2264,0.90335,2.60383,0.93584,0.00333,1,0.74693,0.56387,1.35343,3.8651,1.23939,0.0001802,0.0001802,0.0001802
12,92.9758,0.91799,2.57282,0.98204,0.00333,1,0.74692,0.53079,1.22163,3.67231,1.28866,0.000196042,0.000196042,0.000196042
13,100.197,0.72605,2.21203,0.90895,0.00333,1,0.74702,0.63032,0.90033,3.46018,1.20504,0.000211488,0.000211488,0.000211488
14,107.327,0.83767,2.31665,0.93503,0.00333,1,0.74701,0.64668,0.75956,3.35344,1.14252,0.000226538,0.000226538,0.000226538
15,114.568,0.82684,1.85075,0.91153,0.00333,1,0.80382,0.65589,0.77009,3.26963,0.94628,0.000241192,0.000241192,0.000241192
16,122.045,0.71908,1.78298,0.86884,0.00333,1,0.845,0.6806,0.81163,3.23232,0.88851,0.00025545,0.00025545,0.00025545
17,129.205,0.6538,1.69064,0.81925,0.00333,1,0.88786,0.70631,0.77844,3.3228,0.87094,0.000269312,0.000269312,0.000269312
18,136.48,0.70093,1.65184,0.88695,0.00333,1,0.88786,0.70631,0.77844,3.3228,0.87094,0.000282778,0.000282778,0.000282778
19,143.535,0.69537,1.73131,0.96401,0.00333,1,0.945,0.76907,0.80834,3.37512,0.89041,0.000295848,0.000295848,0.000295848
20,150.679,0.55503,1.42807,0.83149,0.00333,1,0.945,0.76907,0.80834,3.37512,0.89041,0.000308522,0.000308522,0.000308522
21,157.656,0.65043,1.63907,0.89188,0.00333,1,0.945,0.74831,0.78257,3.40451,0.88277,0.0003208,0.0003208,0.0003208
