folder,csv,n,energy_min,energy_max,energy_mean,energy_std,step_mean,step_std
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\017762_2026_04_01_rutile_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\017762_2026_04_01_rutile_150\017762_2026_04_01_16093458_MiningHighVoltage_rutile.csv,2048,-11.519388541059463,41010.33726737505,20499.408939416997,11847.773625515989,20.039988595953158,2.8800012710267835e-12
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\018212_2026_04_02_monazite-bra_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\018212_2026_04_02_monazite-bra_150\018212_2026_04_02_10280625_MiningHighVoltage_monazite-bra.csv,2048,-11.243347803050243,41007.89637973182,20498.32651596439,11846.988932792607,20.038661322684355,2.834635713984832e-12
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\018662_2026_04_02_monazite-bra_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\018662_2026_04_02_monazite-bra_150\018662_2026_04_02_12212129_MiningHighVoltage_monazite-bra.csv,2048,-10.57516057460042,41006.40218554889,20497.913512487143,11846.36440217545,20.037604956582065,2.3489719842134315e-12
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\018812_2026_04_02_monazite-bra_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\018812_2026_04_02_monazite-bra_150\018812_2026_04_02_13422799_MiningHighVoltage_monazite-bra.csv,2048,-11.191509107020748,41008.71600953083,20498.762250211905,11847.210683242762,20.039036403828945,2.8156816979886903e-12
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\018962_2026_04_02_monazite-bra_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\018962_2026_04_02_monazite-bra_150\018962_2026_04_02_15020626_MiningHighVoltage_monazite-bra.csv,2048,-10.960054948596357,41007.29833835151,20498.16914170146,11846.734389255254,20.038230773473426,2.8795690973363354e-12
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\019112_2026_04_02_monazite-bra_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\019112_2026_04_02_monazite-bra_150\019112_2026_04_02_16523472_MiningHighVoltage_monazite-bra.csv,2048,-11.315382017736038,41008.26956999289,20498.477093987578,11847.11752079986,20.03887882364955,2.7995080899348394e-12
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\019262_2026_04_03_rutile_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\019262_2026_04_03_rutile_150\019262_2026_04_03_11221073_MiningHighVoltage_rutile.csv,2048,-11.429760316292471,41009.36825027382,20498.969244978765,11847.467871676585,20.039471426766056,2.782480600711013e-12
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\019412_2026_04_03_rutile_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\019412_2026_04_03_rutile_150\019412_2026_04_03_14005943_MiningHighVoltage_rutile.csv,2048,-11.577213838444056,41010.09769650573,20499.26024133364,11847.721134464406,20.039899809645416,2.860045522217301e-12
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\019562_2026_04_03_rutile_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\019562_2026_04_03_rutile_150\019562_2026_04_03_15104277_MiningHighVoltage_rutile.csv,2048,-10.84348548942058,41006.29739411603,20497.726954313304,11846.411633281803,20.037684845923522,2.4298391139704827e-12
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\019712_2026_04_03_rutile_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\019712_2026_04_03_rutile_150\019712_2026_04_03_16183476_MiningHighVoltage_rutile.csv,2048,-11.074728215124278,41007.02920834625,20497.977240065564,11846.689779658696,20.03815531830062,2.8870126821637975e-12
