energy_kev,MiningHighVoltage,MiningLowVoltage,SoilHighVoltage,SoilMidVoltage,SoilLowVoltage
-0.011538,0.000000,0.000000,0.000000,0.000000,0.000000
0.008503,0.000000,0.000000,0.000000,0.000000,0.000000
0.028545,0.000000,0.000000,0.000000,0.000000,0.000000
0.048587,0.000000,0.000000,0.000000,0.000000,0.000000
0.068628,0.000000,0.000000,0.000000,0.000000,0.000000
0.088670,0.000000,0.000000,0.000000,0.000000,0.000000
0.108712,0.000000,0.000000,0.000000,0.000000,0.000000
0.128753,0.000000,0.000000,0.000000,0.000000,0.000000
0.148795,0.000000,0.000000,0.000000,0.000000,0.000000
0.168837,0.000000,0.000000,0.000000,0.000000,0.000000
0.188878,0.000000,0.000000,0.000000,0.000000,0.000000
0.208920,0.000000,0.000000,0.000000,0.000000,0.000000
0.228962,0.000000,0.000000,0.000000,0.000000,0.000000
0.249003,0.000000,0.000000,0.000000,0.000000,0.000000
0.269045,0.000000,0.000000,0.000000,0.000000,0.000000
0.289087,0.000000,0.000000,0.000000,0.000000,0.000000
0.309129,0.001071,0.000000,0.000000,0.000000,0.000000
0.329170,0.002344,0.000000,0.000000,-0.000065,0.000000
0.349212,0.003147,0.000000,-0.002141,0.000191,0.000000
0.369254,0.004444,0.000000,-0.000564,0.000864,0.000000
0.389295,0.004223,0.000000,-0.001071,0.000593,0.000000
0.409337,-0.002722,-0.000132,-0.283794,-0.000232,0.000088
0.429379,0.004607,0.000208,-0.001911,0.000989,-0.000024
0.449420,0.010614,0.000118,-0.000433,0.000748,0.000263
0.469462,0.014052,-0.024091,-0.003897,-0.000012,0.000103
0.489504,0.083943,-0.000030,-0.003767,0.102497,0.000386
0.509545,0.070210,0.244891,-0.004045,0.004612,0.000334
0.529587,0.071753,0.000487,-0.002027,0.003067,0.000185
0.549629,0.012914,0.001245,0.000904,0.007704,0.000085
0.569670,0.080618,0.202591,0.001622,0.001491,0.000766
0.589712,0.008347,-0.148576,0.003777,0.005089,0.000282
0.609754,0.069604,0.000994,-0.000943,0.082161,0.000482
0.629795,0.060784,0.000822,-0.006121,0.071199,-0.000021
0.649837,0.020908,-0.000692,-0.002966,0.000453,0.000043
0.669879,0.071076,0.000134,-0.003066,-0.063764,0.000315
0.689921,0.108565,-0.000624,-0.001054,0.069205,0.000117
0.709962,0.058120,0.000006,-0.005799,0.064311,0.000175
0.730004,0.009577,0.184042,-0.008547,0.087662,0.000523
0.750046,0.062222,0.001569,0.012627,0.073865,-0.000078
0.770087,0.077070,0.000650,0.104402,0.073486,-0.000114
0.790129,0.063765,-0.000638,0.102920,0.001174,0.000494
0.810171,0.047522,0.001500,0.109911,0.071250,0.001239
0.830212,0.068980,0.001167,-0.000879,0.067008,0.000214
0.850254,0.113558,0.000186,0.012674,0.064887,0.001154
0.870296,0.058315,-0.001967,-0.001505,0.072905,0.000635
0.890337,0.044064,0.003217,0.002756,0.069889,0.000503
0.910379,0.011373,0.002581,-0.004918,0.074160,0.000180
0.930421,0.108857,0.001173,0.004562,0.140981,0.000383
0.950462,0.024264,-0.043085,-0.013406,0.006999,0.000205
0.970504,0.066567,-0.055593,-0.010510,0.003611,0.000016
0.990546,0.021461,0.001996,0.001657,0.005697,0.000002
1.010587,0.061004,-0.096431,-0.105043,0.000825,0.000113
1.030629,0.059364,0.000215,-0.003293,0.074568,0.000098
1.050671,-0.019430,0.004306,0.099479,0.005045,0.000068
1.070713,0.008908,0.001282,0.107541,0.002567,-0.000038
1.090754,0.105491,-0.057191,-0.001976,0.012077,0.000119
1.110796,0.065667,-0.065556,-0.003027,0.071830,0.000144
1.130838,0.005695,0.069192,0.016105,-0.000818,0.000064
1.150879,0.067107,-0.000589,0.001559,-0.000739,0.000128
1.170921,0.042287,-0.002409,0.003023,0.005158,0.000295
1.190963,0.060259,-0.001142,0.000944,0.001062,-0.000072
